RoiName:,Aortic ascending flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RL[mm],AP[mm],FH[mm],,,,,,,,,,,,,,,,,,,,,,,,,
TopLeftCorner,-7.225985771,-49.20658036,12.86015773,,,,,,,,,,,,,,,,,,,,,,,,,
TopRightCorner,26.68025462,-49.20658036,12.88568114,,,,,,,,,,,,,,,,,,,,,,,,,
BottomRightCorner,26.68014248,-11.66781349,13.03466053,,,,,,,,,,,,,,,,,,,,,,,,,
BottomLeftCorner,-7.226097918,-11.66781349,13.00913712,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionRows[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionCols[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
VelocityScale[cm/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,5.225896835,0.73261261,-2.100133896,1.221013069,4.346776009,0.83026886,-1.31868124,1.514029503,4.346776009,0.341868401,-8.937728882,-12.844944,-7.179486752,3.760671616,7.374858856,-2.588510513,-12.64955997,-13.33333206,-5.128204823,1.318669319,0.341868401,-5.421245098,0,0,0
0,0,0,0,14.89620209,9.328436852,4.835152626,5.03051281,6.300377846,4.639792442,5.909657478,9.035420418,9.328436852,4.444432259,-4.44444418,-9.035420418,-3.95604372,7.765555382,11.47742271,-0.830280781,-12.25885201,-12.45421219,-4.249083996,1.123332977,0.146508217,-5.616605282,0,0,0
0,0,0,0,14.7008419,12.25883961,10.20755768,11.96579933,12.844944,8.351659775,7.765555382,10.40291786,13.04030418,11.6727829,5.03051281,-1.807081699,-0.634920597,8.937740326,10.5006218,0.244212151,-7.472538948,-6.495726109,-3.565323353,-3.858363628,-1.611721516,0.537252426,0,0,0
0,0,0,0,7.472538948,5.518913269,7.863259315,13.91942501,13.43102455,3.076910973,-5.51892519,-3.760683537,7.765555382,13.82172108,11.0866785,3.46763134,-0.24420023,4.542136192,6.300377846,3.36997509,-0.830280781,-2.490842342,-4.346776009,-5.616605282,1.514029503,9.230780602,0,0,0
0,0,0,0,2.881550789,-0.24420023,3.956031799,12.25883961,10.40291786,-2.393162251,-13.82173347,-15.09156227,-2.588510513,10.20755768,10.89131832,2.002429962,-7.960927486,-6.593394279,1.514029503,6.398034096,5.811977386,2.002429962,-1.416361332,-0.341868401,7.667899132,15.1892662,0,0,0
0,0,0,0,0,1.514029503,3.760671616,10.40291786,11.77043915,4.053735733,-6.105005741,-10.98900986,-5.323565006,6.202673912,10.10990143,1.611733437,-11.47742271,-13.82173347,-3.858363628,4.93285656,9.230780602,10.10990143,7.374858856,5.225896835,8.351659775,14.79854584,0,0,0
0,0,0,0,0,7.081794739,4.835152626,9.914541245,15.87302685,16.16606712,9.230780602,1.318669319,-1.807081699,4.053735733,10.79366207,6.300377846,-3.565323353,-10.59830189,-10.59830189,-5.51892519,4.835152626,17.43590927,18.31502914,8.351659775,3.272271156,0,0,0,0
0,0,0,0,0,7.472538948,3.956031799,7.472538948,14.60318565,17.92430878,13.72406483,7.374858856,3.760671616,7.472538948,11.96579933,9.523797035,5.128192902,0.634908676,-5.03051281,-9.621488571,-3.95604372,10.98902225,17.92430878,9.914541245,0,0,0,0,0
0,0,0,0,0,0,3.956031799,4.053735733,5.811977386,6.886434555,4.444432259,3.956031799,8.547019958,13.72406483,10.89131832,5.323553085,4.93285656,8.742380142,10.69595814,5.421257019,-1.31868124,0.634908676,6.300377846,8.742380142,0,0,0,0,0
0,0,0,0,0,0,6.300377846,3.858375549,-1.514041424,-5.03051281,-5.909657478,-1.611721516,8.449316025,13.43102455,5.421257019,-3.760683537,-3.760683537,4.835152626,12.25883961,11.18438244,3.46763134,-2.197802067,-1.416361332,0,0,0,0,0,0
0,0,0,0,0,0,0,2.783894539,0.439548492,-3.858363628,-5.714273453,-2.002441883,4.542136192,4.93285656,-2.197802067,-8.156299591,-8.058607101,-4.542124271,-1.611721516,-0.634920597,-0.927960873,-1.514041424,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.927972794,6.300377846,4.639792442,1.221013069,-1.123321056,-3.46763134,-5.811965466,-5.714273453,-3.663015366,-3.760683537,-5.51892519,-5.616605282,-2.88156271,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13.13796043,10.59830189,-0.048840046,-6.202685833,-5.225896835,-3.565323353,-2.783894539,-0.24420023,3.760671616,7.081794739,7.472538948,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-7.179486752,-7.179486752,0.048851967,2.979254723,-2.002441883,-3.076922894,6.788778305,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms]:,52.46153846,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12.16118336,13.23566437,7.667899132,3.565311432,8.351659775,15.67766666,12.25883961,-4.151391983,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.24054718,11.77043915,11.86814308,13.82172108,12.64955997,9.719181061,10.30526161,14.01708126,11.37971878,0.537252426,-5.909657478,0.634908676,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4.444432259,12.06350327,13.62638474,10.40291786,8.742380142,10.5006218,11.86814308,10.40291786,8.742380142,9.914541245,10.20755768,6.886434555,2.979254723,1.90474987,3.760671616,5.03051281,0,0,0,0,0,0
0,0,0,0,0,0,-3.565323353,2.979254723,6.886434555,7.081794739,6.495738029,7.081794739,6.788778305,6.300377846,6.300377846,5.909657478,6.593394279,8.840036392,11.0866785,10.30526161,3.663015366,0.73261261,7.667899132,12.25883961,0,0,0,0,0
